Capital,Time
101000.0,2024-12-02 01:15:00+00:00
100000.0,2024-12-04 18:45:00+00:00
101000.0,2024-12-08 23:45:00+00:00
100000.0,2024-12-12 03:45:00+00:00
101000.0,2024-12-13 14:30:00+00:00
102000.0,2024-12-14 01:15:00+00:00
101000.0,2024-12-15 01:15:00+00:00
102000.0,2024-12-15 12:00:00+00:00
103000.0,2024-12-17 14:45:00+00:00
104000.0,2024-12-18 01:45:00+00:00
105000.0,2024-12-21 07:30:00+00:00
106000.0,2024-12-22 14:45:00+00:00
105000.0,2024-12-23 13:30:00+00:00
105533.21373543449,2024-12-25 06:15:00+00:00
104533.21373543449,2024-12-25 10:15:00+00:00
105533.21373543449,2024-12-26 08:00:00+00:00
104533.21373543449,2024-12-27 07:30:00+00:00
103533.21373543449,2024-12-27 14:30:00+00:00
104533.21373543449,2025-01-03 08:30:00+00:00
103533.21373543449,2025-01-06 14:15:00+00:00
104533.21373543449,2025-01-13 08:15:00+00:00
105533.21373543449,2025-01-15 13:30:00+00:00
106533.21373543449,2025-01-19 06:45:00+00:00
107533.21373543449,2025-01-19 20:00:00+00:00
108533.21373543449,2025-01-21 13:15:00+00:00
107533.21373543449,2025-01-28 14:30:00+00:00
106533.21373543449,2025-01-29 19:30:00+00:00
107533.21373543449,2025-01-30 03:45:00+00:00
106533.21373543449,2025-01-31 11:00:00+00:00
107533.21373543449,2025-02-02 03:15:00+00:00
108533.21373543449,2025-02-02 12:45:00+00:00
109533.21373543449,2025-02-02 17:45:00+00:00
108533.21373543449,2025-02-05 12:00:00+00:00
107533.21373543449,2025-02-09 01:15:00+00:00
106533.21373543449,2025-02-09 20:15:00+00:00
107244.98473017175,2025-02-12 07:15:00+00:00
106244.98473017175,2025-02-12 13:30:00+00:00
103884.75652626531,2025-02-17 14:00:00+00:00
102884.75652626531,2025-02-17 15:30:00+00:00
101884.75652626531,2025-02-18 05:45:00+00:00
102884.75652626531,2025-02-19 10:00:00+00:00
103884.75652626531,2025-02-21 09:15:00+00:00
104884.75652626531,2025-02-21 13:00:00+00:00
105884.75652626531,2025-02-28 01:30:00+00:00
106884.75652626531,2025-03-01 21:45:00+00:00
107884.75652626531,2025-03-02 14:15:00+00:00
108884.75652626531,2025-03-16 11:00:00+00:00
107884.75652626531,2025-03-17 12:15:00+00:00
108884.75652626531,2025-03-18 13:30:00+00:00
109884.75652626531,2025-03-20 10:15:00+00:00
110884.75652626531,2025-03-20 16:30:00+00:00
113650.51139524789,2025-03-24 03:15:00+00:00
114650.51139524789,2025-03-24 06:00:00+00:00
113650.51139524789,2025-03-30 00:45:00+00:00
112650.51139524789,2025-03-30 13:15:00+00:00
113650.51139524789,2025-03-30 16:30:00+00:00
114650.51139524789,2025-04-01 15:45:00+00:00
113650.51139524789,2025-04-02 09:00:00+00:00
114650.51139524789,2025-04-02 15:30:00+00:00
115650.51139524789,2025-04-03 14:00:00+00:00
116650.51139524789,2025-04-05 13:15:00+00:00
117650.51139524789,2025-04-12 13:45:00+00:00
118650.51139524789,2025-04-15 20:45:00+00:00
117650.51139524789,2025-04-16 08:30:00+00:00
118650.51139524789,2025-04-16 14:30:00+00:00
119285.43476444256,2025-04-17 03:15:00+00:00
118285.43476444256,2025-04-17 06:15:00+00:00
117285.43476444256,2025-04-17 14:00:00+00:00
118285.43476444256,2025-04-24 06:15:00+00:00
117285.43476444256,2025-04-27 22:00:00+00:00
118285.43476444256,2025-05-04 22:00:00+00:00
117285.43476444256,2025-05-06 02:15:00+00:00
118285.43476444256,2025-05-06 23:15:00+00:00
117285.43476444256,2025-05-07 17:45:00+00:00
118285.43476444256,2025-05-08 17:15:00+00:00
117413.47032903606,2025-05-12 04:15:00+00:00
116413.47032903606,2025-05-12 07:00:00+00:00
115413.47032903606,2025-05-13 09:15:00+00:00
116413.47032903606,2025-05-15 17:30:00+00:00
116447.94688033586,2025-05-16 21:15:00+00:00
117447.94688033586,2025-05-17 01:15:00+00:00
116447.94688033586,2025-05-17 21:00:00+00:00
117447.94688033586,2025-05-21 23:15:00+00:00
118152.23171136208,2025-05-23 04:00:00+00:00
119152.23171136208,2025-05-23 11:30:00+00:00
120152.23171136208,2025-05-23 11:45:00+00:00
121152.23171136208,2025-05-23 23:30:00+00:00
122152.23171136208,2025-05-24 10:45:00+00:00
123152.23171136208,2025-05-25 09:30:00+00:00
122152.23171136208,2025-05-25 18:15:00+00:00
123152.23171136208,2025-05-27 01:15:00+00:00
124152.23171136208,2025-05-29 10:45:00+00:00
125152.23171136208,2025-05-31 01:30:00+00:00
126152.23171136208,2025-06-01 23:00:00+00:00
126733.07604069862,2025-06-05 04:00:00+00:00
125733.07604069862,2025-06-05 05:45:00+00:00
126733.07604069862,2025-06-09 21:00:00+00:00
125733.07604069862,2025-06-11 16:00:00+00:00
124733.07604069862,2025-06-12 19:45:00+00:00
127181.55603635032,2025-06-16 14:30:00+00:00
128181.55603635032,2025-06-16 19:00:00+00:00
129181.55603635032,2025-06-17 10:15:00+00:00
128181.55603635032,2025-06-18 21:45:00+00:00
129181.55603635032,2025-06-22 14:15:00+00:00
128181.55603635032,2025-06-24 08:00:00+00:00
127965.95568108128,2025-06-26 02:45:00+00:00
126965.95568108128,2025-06-26 11:15:00+00:00
125965.95568108128,2025-06-26 21:30:00+00:00
